row_id,subject_id,hadm_id
29174.691882332387,-6691.189597011173,159360.74340248888
17654.163624409204,8562.313645496644,134258.18373899956
8471.932251885155,10175.065003039526,158119.30240303255
15747.585377147789,8789.898760780608,175179.46167061816
17227.198355956545,6694.184102532021,151703.30341438475
17094.375915062352,11785.951895503189,148077.6309078675
14487.618407181886,7348.044017644148,151539.04428680002
16688.491143594925,10430.298234822643,143056.11587913163
14026.187871826674,12159.65026255575,146911.39362519392
14422.870380753331,8412.01724516854,146916.2051225442
13148.583469961053,10398.798082541678,142831.6629375997
14699.559458999938,9053.637080855973,143280.08941308677
14269.145101054699,8899.059555154636,154925.1335225578
14892.311306116972,11479.754316609786,142829.38518656418
14819.543628027386,9651.816325024338,146606.26896840901
12994.114703703992,8714.032425854442,151674.31412714618
12603.930643566833,9283.665406122924,152214.72684872433
14977.3127967055,10849.661611908508,138879.87533295198
14286.503855848634,10343.984916584232,134172.4663142704
14410.881820001163,11500.702021209676,135532.39266351948
14657.455327764845,13118.150326855197,131659.80154927843
15981.304531732381,10529.493292922554,132704.57060982383
15351.175685900143,8298.613832847499,130555.9413841617
15529.412060060753,10074.524986868237,126300.00327042784
15062.92132376787,10499.23613066518,132463.18704494697
12431.163639363127,9352.352500799541,130971.48307024359
13905.18142229271,9568.043131914383,140068.1564028235
12979.575422383841,10399.968775351492,144176.94955218394
11778.714529338762,12427.55737871294,154406.60117218216
13875.17540868351,9648.259273369502,159016.79408772392
14576.168133920535,9374.604428935989,165450.6657214105
14670.593384478147,10772.934272005787,165407.99160300902
12491.830626987507,11399.49578824894,174611.99449490666
12073.431454201185,9544.313169980494,173854.87368499243
14809.24766273341,10419.416462436737,162558.77453520923
14475.20331465634,12412.148852427219,163441.28508997365
13683.108372028499,11673.462667361333,165559.38001069636
13611.893511261678,9205.111741373668,166400.38312494534
16193.485488472666,11812.288308893161,166664.6239682287
17226.50545577094,12141.681694883611,170871.1491670489
16907.819499127767,14090.889054807236,166982.17167240073
17386.47052359634,10345.845246744964,164025.83603627828
17592.694525330768,9001.358268702534,159594.10447159526
16770.89570490953,7752.5785290511885,151346.9638716426
14375.039019621949,10464.980135037233,154694.7471242426
13733.69812410049,12234.681535526754,150722.33385167288
12891.416123552706,11694.43259515248,155623.2131385111
14090.473366642982,10532.999767659374,154838.04068383732
14223.011762664424,10139.8019711632,154686.67522203605
12508.252356266275,9482.30404848525,156310.86733480645
15260.633041858062,7360.225980139505,146350.00747098538
16699.093622371583,9054.716246686301,147727.02166722913
16131.047056185489,9398.636852573865,153084.54028354867
14633.904747176875,11906.755894930142,162733.59468889542
15038.559940393068,14231.450362299516,172994.6404784921
18741.750934146094,15187.638945924167,178029.75994750997
17640.62521597963,13118.004678741847,176039.4061989489
14035.791084848413,13022.358649916312,168483.31542053664
15566.530220723955,6763.478599172966,156235.53105767272
18874.424391430894,6340.9901097648035,136130.40098823744
19307.345597273863,8548.609312295193,127030.10344426316
15355.664509677,10445.451505725232,133077.7557464499
13748.281438093338,12080.675490683196,155056.5226770725
12320.141808855511,10222.979927590248,168069.00217832564
13719.689078080872,13412.914437052154,177524.5754651817
15799.531617143184,16138.355608268164,177520.15274753913
11865.217124460029,14583.924011156567,179348.89303172907
14771.361234333195,13908.588960126572,170932.32072905774
18597.076512719632,13211.574707082933,169978.41710665516
18518.142372423496,8716.365286198114,174202.6842445366
20008.785874948255,15543.546434421349,174236.71111976632
24885.220981438066,22064.882936605485,171310.14952018534
28608.75189552902,23538.266471408002,162616.4726776119
37642.81195347039,30663.12504531943,152863.36659694926
41737.98618284702,33581.828073919445,157467.2165126638
42185.720946200316,33730.919309149154,167896.99106689074
43607.786165837904,33143.95221575732,161173.47085113733
44547.018242715676,38723.843009196324,142790.79735200657
47060.33989694427,41463.163227889185,145295.17514408714
50651.516731429634,42102.5404969211,159778.16405757418
47450.20391379205,41008.94336802406,166831.0751723775
50581.29091617271,42186.89663570868,168003.88070566973
51304.522086751895,42720.04172226235,168029.40853586327
50638.814943781326,43280.83456610411,164364.6895329039
53439.44084642707,40986.15165341951,161876.45463547306
54241.851722653955,40579.85405199769,155618.6448746105
52208.271752756205,37440.595285506744,146987.3742309241
51473.08248589026,40702.60930888194,150605.728437769
49450.45717934959,44711.194924619354,166291.66025543312
51213.205914092425,40408.0150995321,153975.62283313784
51277.9268132494,38820.5057490216,135612.61273033638
47405.8232165773,41312.7997089735,130475.25653479298
48196.00858123206,40072.75282736417,133331.39945439147
47644.2483118557,37687.065748939785,135068.14774940236
50777.38724958427,36951.93884263735,132395.14380142727
48841.66534428808,43892.69290290972,129614.67024747859
46643.673781034275,42802.90079505287,132277.63008507813
50776.77099696963,42929.25746615854,157382.82709630762
49683.432668173016,43932.68482872611,163922.9919292378
47492.793486043345,42963.21176041259,163238.6296709687
