row_id,subject_id
9499.084,10006.518
9502.381,10011.916
9503.7,10014.075
9506.339,10018.392
9507.29,10019.893
9511.908,10027.453
9512.567,10028.531
9513.887,10030.692
9515.495,10033.268
9516.157,10034.35
9517.476,10036.51
9518.134,10037.59
9519.454,10039.748
9520.773,10041.91
9522.093,10044.068
9522.753,10045.148
9523.412,10046.229
9524.071,10047.309
9524.731,10048.388
9530.96,10058.524
9532.938,10061.767
9534.259,10063.924
9536.237,10067.165
9536.896,10068.244
9538.216,10070.402
9539.536,10072.562
9542.465,10077.301
9543.784,10079.459
9548.033,10086.358
9551.331,10091.757
9551.991,10092.839
9552.651,10093.916
9554.629,10097.154
9555.289,10098.236
9557.558,10101.895
9559.538,10105.135
9560.197,10106.214
9561.517,10108.374
9562.837,10110.534
9566.135,10115.932
9566.794,10117.012
9568.113,10119.17
9570.092,10122.41
9571.412,10124.57
9572.071,10125.649
9574.711,10129.968
9576.03,10132.126
9576.689,10133.208
9578.669,10136.448
9579.987,10138.605
30662.898,40965.47
30678.47,40989.06
30689.35,41004.418
30714.371,41040.97
30716.799,41044.73
30724.648,41055.656
30727.664,41059.746
30776.512,41131.492
30795.645,41158.457
30827.525,41204.914
30831.135,41209.684
30835.768,41216.168
30849.303,41236.332
30859.402,41251.367
31269.67,41840.766
31307.643,41897.15
31326.838,41925.86
31330.059,41930.293
31345.617,41953.535
31357.715,41970.953
31362.535,41977.43
31382.52,42006.812
31408.7,42043.676
31419.398,42059.387
31435.527,42082.613
31437.348,42085.348
31441.379,42091.152
31444.611,42095.938
31450.87,42105.164
31458.947,42117.12
31467.406,42129.066
31484.936,42153.992
31489.795,42161.516
31502.07,42178.58
31948.533,42827.91
31954.357,42835.75
31955.365,42837.113
31965.262,42851.81
31972.715,42862.39
31982.803,42877.082
31995.143,42895.883
31999.965,42902.363
32000.969,42903.73
32009.06,42916.04
32016.31,42926.277
32070.781,43005.52
32094.201,43040.027
32114.377,43069.406
32118.205,43074.867
32120.625,43078.28
