HR,SBP,RR,SpO2
78.65265337931079,112.95609606662946,19.499252097375916,95.68613697440095
78.47503528617099,113.08576173131613,19.46205496765285,95.68714160317792
78.28421851049922,113.09532148399155,19.421075978178262,95.69428308417999
78.14857768139932,112.94999008691487,19.372882049557777,95.71213767755104
78.0984877613017,112.54871738353532,19.321105795674104,95.72658773183582
78.17423689745596,111.84370198772034,19.27274906522137,95.73626266513708
78.40122470791218,110.8467493826911,19.239506748970687,95.74156517418633
78.77121078232658,109.63330190068699,19.226822160585833,95.74271484047586
79.24317054659716,108.37083746895937,19.230656831520545,95.73838988137783
79.77118973946484,107.15933988777667,19.25103372514113,95.7294233342832
80.81050582832954,106.1931373814729,19.295741111220888,95.54985422886776
81.73007351428376,106.71015619179339,19.413618710159756,95.51841173955488
82.35051193358096,108.36818825517317,19.445440540078216,95.54707969156784
82.12518352703681,111.26880963047333,19.504552201259145,95.56399614411524
80.46325228803997,113.71748797244165,19.74444902988194,95.6933932636236
79.31587216738872,115.14507361087841,19.896530876482124,95.86283253406141
78.23302699220321,115.77586865080384,19.85748533036054,95.957244036969
77.22270116456508,115.35726615453706,19.753473341567016,95.74178185973535
76.02247309434868,114.65249275302601,19.588631466215446,95.55985823611007
74.83161173993813,114.83683261326367,19.32174968832653,95.48401940377131
73.93829317689213,114.40629162573161,19.005970802645116,95.45293535256354
73.83690478150214,113.19586524552186,18.897899520168135,95.46002270756425
74.39380271618367,112.9479101769795,18.911782475867344,95.48841123492518
75.57969311804777,113.21430010617175,18.977590169819305,95.4164104510025
76.9834344404499,113.1677254830766,18.9332155038213,95.35798678786787
78.53265547284506,113.46543004786727,18.895761924912428,95.38057260166063
80.23403526458836,113.92271970435353,18.966321080639478,95.36944766990422
82.38656922340795,113.39748670670855,19.074227016718122,95.3919951477465
84.37191601515802,113.32739229628109,19.20882606667301,95.42609554896443
85.84852569053835,113.9525989737493,19.394896763320755,95.36798488646481
86.26271442034016,114.46949365644578,19.603035414212457,95.32845707741413
86.10356763311401,114.56615908896723,19.820313800816955,95.31078416026283
84.88343629341897,113.53038924470948,19.9534764510645,95.32815944696473
83.65505929369313,113.12010292360691,20.085738716208585,95.37790972748842
82.29533062403371,112.53690766685776,20.21041965401019,95.37987529674398
80.46561693846755,112.68047049043025,20.18779887495629,95.3798621093666
79.85646344871296,112.6519226889757,20.24310030897475,95.45744782756333
78.95881189987598,111.40036176863538,20.1707268020374,95.56666629413706
78.22262432086134,109.83454042606816,20.14124068219289,95.6910864207774
77.59663964365632,108.39494011472244,20.138280848824166,95.6689052814034
77.37430967936517,106.9374421868246,20.261093817195754,95.64345594225549
76.5605543375186,104.7109891080045,20.406880734180568,95.7115164274946
75.3841732955279,102.18118115156324,20.76616575870483,95.73948370542043
74.96902974611771,99.72976949935726,21.092460107452332,95.61594105339769
75.27258948037421,97.53015742117483,21.34961525344954,95.40970304534235
76.48435573457294,96.84616876521517,21.3484536100635,95.03306093762625
78.57335715050479,97.8930092135613,21.023788376008017,94.72133686678124
80.77872324095948,100.92324824019025,20.37506233647857,94.52065297469795
81.82941163241527,104.85889708411814,19.84893722908255,94.43965592228062
82.00159948483467,108.98835683007336,19.408053973781424,94.49776900490365
80.8796890323311,111.4554651463289,19.15487458034897,94.65688395905438
78.69177902274753,112.77377769224417,19.041505229594083,94.8629595237719
77.5866697581073,113.59405760704026,18.99000318765052,95.13838709100175
76.99428346985161,113.00088471969603,19.040747880531036,95.47539382986031
76.37013101780158,112.94432091284374,19.059064207514492,95.80628027901989
75.659781106425,112.9478337049565,19.18571497559955,96.1146561937826
75.54138703771868,113.85225844257158,19.233781577103315,96.34910888576671
75.54168014682699,114.48701416415753,19.40854130192641,96.45631150995843
75.92352899881418,114.52134015655115,19.495261649133806,96.3535746087221
76.28039584724681,114.04208918188394,19.482884989666886,96.36128992959502
76.98255753477159,112.56227434216518,19.446759022539503,96.30864039524317
77.75364355536036,111.10237343705285,19.401382866062097,96.39736465585507
78.41108060730637,110.25297113255105,19.386845942617075,96.38178909451462
79.182980462175,110.01199317575504,19.37620037529777,96.242200303687
79.82980725233895,110.58504340150397,19.47821612775402,96.02411111387696
80.43215068043791,110.9141152422399,19.590174969000724,95.81567562703925
80.95613162436723,111.87162573815358,19.854697880408565,95.61002791366562
81.58198892127363,112.57534324946035,20.068674549891696,95.55824274726038
82.11713509875204,113.59481203639383,20.3229537200456,95.52802462837893
83.12031142419954,114.705891713756,20.58729895398899,95.41510999944927
84.03509712280461,116.35101043684081,20.712018804229814,95.40667812807398
84.75555963868442,118.11500158823775,20.69761680875462,95.46816025926594
84.9373978597078,119.77299564412323,20.604008746451736,95.65472420168415
84.95117150717897,120.15955444517061,20.28756568338101,95.99629007535104
85.55149988375776,118.05380270356595,19.8053916894026,96.26054330016724
85.93614525085972,114.67628316316252,19.51174017634067,96.38312870936532
86.3934633146215,110.51230262768509,19.43551975142368,96.2739096577772
86.8540224870415,107.33310504534089,19.575820922454877,95.89410126940236
87.09936282451173,106.21178255606154,19.975074495222255,95.58012148682313
87.28851138924625,105.47969159283457,20.33167252262621,95.48263300847952
87.17965075085085,106.3155872485654,20.76734492260742,95.34559605854767
86.07126278726851,109.27457073262596,21.075949817147862,95.13793695936336
84.58693375233909,113.37563025869521,20.99061277560299,95.164347914105
82.44767778318504,117.25048557825595,20.603971447781845,95.37441499252705
80.82257555485822,119.87866543383096,19.985390113336322,95.74872107969735
79.40494110616268,120.81215053714023,19.24167337241128,95.9096200700416
77.81379671702979,119.36945673905132,18.70031604031522,95.84598386845549
76.74434209361499,115.63221440275967,18.39950879047374,95.67432614572206
75.75234862347854,113.80220660270746,18.479556463855555,95.29658092888819
76.02699553584445,111.95494988637445,18.624191314284406,95.21922653862002
76.35015338682776,111.55954767640064,18.857076888225194,95.21122440739514
76.043438128627,111.58548086671158,18.937783508763513,95.17068148517723
75.41624806996455,111.76508426815168,19.020027469433117,95.09531420831601
74.79645362426726,111.60665830285863,19.105046640650794,95.09490179177469
73.88638232657267,111.71489031006398,19.214601520254657,95.12911328534494
73.09078221411167,112.02523148235485,19.35199200119664,95.2339133010442
72.38963969815524,112.58130578894033,19.476138508567423,95.270452646696
71.81173559573344,113.66252351850092,19.553975130414774,95.41224401991603
72.4952281349604,114.01682274438883,20.00884088805415,95.5620058598164
71.90295421036029,116.31988112854647,20.317901754144955,95.88559715131163
